,compared_heuristics,pvalue,statistic
0,JW-OS&JW-TS,1.5140806020138297e-34,138928.0
1,JW-OS&DPLL,6.139084635140983e-163,2000.0
2,JW-OS&DPLL+JW-OS,5.972352230747155e-159,5241.5
3,JW-OS&DPLL+JW-TS,2.0762520876330786e-163,1763.5
4,JW-OS&MLV,1.9908700025654935e-164,976.0
5,JW-OS&JW-OS+MLV,2.3823522241353375e-155,7949.0
6,JW-OS&JW-TS+MLV,7.186428960113976e-163,2053.0
7,JW-OS&Random+MLV,2.730816743933576e-164,1082.0
8,JW-TS&JW-OS,1.5140806020138297e-34,138928.0
9,JW-TS&DPLL,1.0001403474110639e-154,8031.5
10,JW-TS&DPLL+JW-OS,5.928822767100992e-140,20331.5
11,JW-TS&DPLL+JW-TS,1.6397768012681777e-144,16856.0
12,JW-TS&MLV,4.399249075093267e-153,9754.0
13,JW-TS&JW-OS+MLV,1.5574839714441793e-82,74674.0
14,JW-TS&JW-TS+MLV,1.2554950485782733e-117,39797.5
15,JW-TS&Random+MLV,3.124098127377764e-151,11096.5
16,DPLL&JW-OS,6.139084635140983e-163,2000.0
17,DPLL&JW-TS,1.0001403474110639e-154,8031.5
18,DPLL&DPLL+JW-OS,0.573895300976935,243637.5
19,DPLL&DPLL+JW-TS,0.6120961567579013,245124.5
20,DPLL&MLV,3.843261104036326e-13,181919.5
21,DPLL&JW-OS+MLV,3.795858379877435e-151,11449.5
22,DPLL&JW-TS+MLV,5.4191056601751634e-123,34783.5
23,DPLL&Random+MLV,0.582277608986159,244240.5
24,DPLL+JW-OS&JW-OS,5.972352230747155e-159,5241.5
25,DPLL+JW-OS&JW-TS,5.928822767100992e-140,20331.5
26,DPLL+JW-OS&DPLL,0.573895300976935,243637.5
27,DPLL+JW-OS&DPLL+JW-TS,0.5933336342169218,243895.0
28,DPLL+JW-OS&MLV,1.1670659603799768e-18,166298.0
29,DPLL+JW-OS&JW-OS+MLV,6.595570329686673e-147,14743.0
30,DPLL+JW-OS&JW-TS+MLV,1.0022103970608774e-103,52881.0
31,DPLL+JW-OS&Random+MLV,0.057337772083175434,230049.5
32,DPLL+JW-TS&JW-OS,2.0762520876330786e-163,1763.5
33,DPLL+JW-TS&JW-TS,1.6397768012681777e-144,16856.0
34,DPLL+JW-TS&DPLL,0.6120961567579013,245124.5
35,DPLL+JW-TS&DPLL+JW-OS,0.5933336342169218,243895.0
36,DPLL+JW-TS&MLV,5.535179649364741e-23,159705.5
37,DPLL+JW-TS&JW-OS+MLV,8.007010994001065e-155,8368.0
38,DPLL+JW-TS&JW-TS+MLV,1.5387925712087871e-103,53267.0
39,DPLL+JW-TS&Random+MLV,0.08331175323346687,231579.0
40,MLV&JW-OS,1.9908700025654935e-164,976.0
41,MLV&JW-TS,4.399249075093267e-153,9754.0
42,MLV&DPLL,3.843261104036326e-13,181919.5
43,MLV&DPLL+JW-OS,1.1670659603799768e-18,166298.0
44,MLV&DPLL+JW-TS,5.535179649364741e-23,159705.5
45,MLV&JW-OS+MLV,6.396300229716253e-163,2015.0
46,MLV&JW-TS+MLV,7.788902189727076e-156,7293.0
47,MLV&Random+MLV,3.065334296906482e-14,178492.5
48,JW-OS+MLV&JW-OS,2.3823522241353375e-155,7949.0
49,JW-OS+MLV&JW-TS,1.5574839714441793e-82,74674.0
50,JW-OS+MLV&DPLL,3.795858379877435e-151,11449.5
51,JW-OS+MLV&DPLL+JW-OS,6.595570329686673e-147,14743.0
52,JW-OS+MLV&DPLL+JW-TS,8.007010994001065e-155,8368.0
53,JW-OS+MLV&MLV,6.396300229716253e-163,2015.0
54,JW-OS+MLV&JW-TS+MLV,1.3815933734908275e-141,18973.0
55,JW-OS+MLV&Random+MLV,5.963888553600897e-163,1991.0
56,JW-TS+MLV&JW-OS,7.186428960113976e-163,2053.0
57,JW-TS+MLV&JW-TS,1.2554950485782733e-117,39797.5
58,JW-TS+MLV&DPLL,5.4191056601751634e-123,34783.5
59,JW-TS+MLV&DPLL+JW-OS,1.0022103970608774e-103,52881.0
60,JW-TS+MLV&DPLL+JW-TS,1.5387925712087871e-103,53267.0
61,JW-TS+MLV&MLV,7.788902189727076e-156,7293.0
62,JW-TS+MLV&JW-OS+MLV,1.3815933734908275e-141,18973.0
63,JW-TS+MLV&Random+MLV,2.4262784557477193e-147,14389.0
64,Random+MLV&JW-OS,2.730816743933576e-164,1082.0
65,Random+MLV&JW-TS,3.124098127377764e-151,11096.5
66,Random+MLV&DPLL,0.582277608986159,244240.5
67,Random+MLV&DPLL+JW-OS,0.057337772083175434,230049.5
68,Random+MLV&DPLL+JW-TS,0.08331175323346687,231579.0
69,Random+MLV&MLV,3.065334296906482e-14,178492.5
70,Random+MLV&JW-OS+MLV,5.963888553600897e-163,1991.0
71,Random+MLV&JW-TS+MLV,2.4262784557477193e-147,14389.0
